Faces_annotation_0349 Faces_annotation_0431
butterfly_annotation_0024 butterfly_annotation_0012
butterfly_annotation_0089 butterfly_annotation_0004
butterfly_annotation_0053 butterfly_annotation_0081
butterfly_annotation_0089 butterfly_annotation_0069
butterfly_annotation_0004 butterfly_annotation_0073
butterfly_annotation_0018 butterfly_annotation_0041
camera_annotation_0004 camera_annotation_0032
camera_annotation_0008 camera_annotation_0048
camera_annotation_0013 camera_annotation_0029
camera_annotation_0004 camera_annotation_0035
camera_annotation_0043 camera_annotation_0049
camera_annotation_0008 camera_annotation_0045
camera_annotation_0031 camera_annotation_0033
camera_annotation_0027 camera_annotation_0050
camera_annotation_0010 camera_annotation_0009
camera_annotation_0038 camera_annotation_0026
camera_annotation_0031 camera_annotation_0032
camera_annotation_0008 camera_annotation_0041
camera_annotation_0023 camera_annotation_0021
camera_annotation_0035 camera_annotation_0003
camera_annotation_0015 camera_annotation_0026
cannon_annotation_0006 cannon_annotation_0029
cannon_annotation_0016 cannon_annotation_0032
cannon_annotation_0030 cannon_annotation_0022
cannon_annotation_0006 cannon_annotation_0028
cannon_annotation_0034 cannon_annotation_0002
cannon_annotation_0003 cannon_annotation_0009
cannon_annotation_0036 cannon_annotation_0033
cannon_annotation_0038 cannon_annotation_0014
cannon_annotation_0009 cannon_annotation_0033
cannon_annotation_0027 cannon_annotation_0037
cannon_annotation_0043 cannon_annotation_0005
cannon_annotation_0002 cannon_annotation_0026
cannon_annotation_0006 cannon_annotation_0031
cannon_annotation_0010 cannon_annotation_0025
cannon_annotation_0026 cannon_annotation_0011
car_side_annotation_0113 car_side_annotation_0022
car_side_annotation_0117 car_side_annotation_0096
car_side_annotation_0064 car_side_annotation_0041
car_side_annotation_0087 car_side_annotation_0039
car_side_annotation_0099 car_side_annotation_0090
car_side_annotation_0025 car_side_annotation_0072
car_side_annotation_0014 car_side_annotation_0096
car_side_annotation_0077 car_side_annotation_0045
car_side_annotation_0003 car_side_annotation_0023
car_side_annotation_0005 car_side_annotation_0071
car_side_annotation_0015 car_side_annotation_0060
car_side_annotation_0101 car_side_annotation_0052
car_side_annotation_0047 car_side_annotation_0040
car_side_annotation_0029 car_side_annotation_0120
car_side_annotation_0046 car_side_annotation_0032
ceiling_fan_annotation_0027 ceiling_fan_annotation_0039
ceiling_fan_annotation_0017 ceiling_fan_annotation_0006
ceiling_fan_annotation_0015 ceiling_fan_annotation_0030
ceiling_fan_annotation_0001 ceiling_fan_annotation_0027
ceiling_fan_annotation_0032 ceiling_fan_annotation_0013
ceiling_fan_annotation_0042 ceiling_fan_annotation_0001
ceiling_fan_annotation_0020 ceiling_fan_annotation_0014
ceiling_fan_annotation_0041 ceiling_fan_annotation_0039
ceiling_fan_annotation_0045 ceiling_fan_annotation_0043
ceiling_fan_annotation_0018 ceiling_fan_annotation_0047
ceiling_fan_annotation_0010 ceiling_fan_annotation_0001
ceiling_fan_annotation_0009 ceiling_fan_annotation_0035
ceiling_fan_annotation_0015 ceiling_fan_annotation_0004
ceiling_fan_annotation_0040 ceiling_fan_annotation_0030
ceiling_fan_annotation_0025 ceiling_fan_annotation_0038
cellphone_annotation_0049 cellphone_annotation_0045
cellphone_annotation_0034 cellphone_annotation_0042
cellphone_annotation_0016 cellphone_annotation_0055
cellphone_annotation_0047 cellphone_annotation_0054
cellphone_annotation_0010 cellphone_annotation_0048
cellphone_annotation_0017 cellphone_annotation_0059
cellphone_annotation_0001 cellphone_annotation_0048
cellphone_annotation_0024 cellphone_annotation_0020
cellphone_annotation_0002 cellphone_annotation_0002
cellphone_annotation_0051 cellphone_annotation_0044
cellphone_annotation_0013 cellphone_annotation_0028
cellphone_annotation_0051 cellphone_annotation_0024
cellphone_annotation_0004 cellphone_annotation_0051
cellphone_annotation_0014 cellphone_annotation_0004
cellphone_annotation_0003 cellphone_annotation_0023
chair_annotation_0009 chair_annotation_0039
chair_annotation_0003 chair_annotation_0044
chair_annotation_0044 chair_annotation_0031
chair_annotation_0057 chair_annotation_0032
chair_annotation_0024 chair_annotation_0049
chair_annotation_0016 chair_annotation_0003
chair_annotation_0057 chair_annotation_0056
chair_annotation_0044 chair_annotation_0046
chair_annotation_0056 chair_annotation_0039
chair_annotation_0059 chair_annotation_0047
chair_annotation_0059 chair_annotation_0018
chair_annotation_0062 chair_annotation_0013
chair_annotation_0025 chair_annotation_0041
chair_annotation_0041 chair_annotation_0058
chair_annotation_0052 chair_annotation_0050
chandelier_annotation_0038 chandelier_annotation_0060
chandelier_annotation_0029 chandelier_annotation_0072
chandelier_annotation_0080 chandelier_annotation_0013
chandelier_annotation_0078 chandelier_annotation_0034
chandelier_annotation_0092 chandelier_annotation_0105
chandelier_annotation_0099 chandelier_annotation_0095
chandelier_annotation_0029 chandelier_annotation_0003
chandelier_annotation_0074 chandelier_annotation_0093
chandelier_annotation_0067 chandelier_annotation_0027
chandelier_annotation_0008 chandelier_annotation_0047
chandelier_annotation_0021 chandelier_annotation_0015
chandelier_annotation_0036 chandelier_annotation_0024
chandelier_annotation_0034 chandelier_annotation_0083
chandelier_annotation_0045 chandelier_annotation_0010
chandelier_annotation_0010 chandelier_annotation_0043
cougar_body_annotation_0028 cougar_body_annotation_0035
cougar_body_annotation_0010 cougar_body_annotation_0006
cougar_body_annotation_0033 cougar_body_annotation_0023
cougar_body_annotation_0028 cougar_body_annotation_0041
cougar_body_annotation_0022 cougar_body_annotation_0001
cougar_body_annotation_0012 cougar_body_annotation_0039
cougar_body_annotation_0020 cougar_body_annotation_0037
cougar_body_annotation_0037 cougar_body_annotation_0010
cougar_body_annotation_0002 cougar_body_annotation_0043
cougar_body_annotation_0029 cougar_body_annotation_0033
cougar_body_annotation_0004 cougar_body_annotation_0042
cougar_body_annotation_0020 cougar_body_annotation_0034
cougar_body_annotation_0047 cougar_body_annotation_0023
cougar_body_annotation_0040 cougar_body_annotation_0040
cougar_body_annotation_0003 cougar_body_annotation_0005
cougar_face_annotation_0002 cougar_face_annotation_0035
cougar_face_annotation_0024 cougar_face_annotation_0002
cougar_face_annotation_0034 cougar_face_annotation_0014
cougar_face_annotation_0016 cougar_face_annotation_0062
cougar_face_annotation_0039 cougar_face_annotation_0027
cougar_face_annotation_0047 cougar_face_annotation_0008
cougar_face_annotation_0058 cougar_face_annotation_0025
cougar_face_annotation_0062 cougar_face_annotation_0013
cougar_face_annotation_0031 cougar_face_annotation_0018
cougar_face_annotation_0028 cougar_face_annotation_0045
cougar_face_annotation_0031 cougar_face_annotation_0068
cougar_face_annotation_0022 cougar_face_annotation_0064
cougar_face_annotation_0031 cougar_face_annotation_0004
cougar_face_annotation_0067 cougar_face_annotation_0063
cougar_face_annotation_0032 cougar_face_annotation_0014
crab_annotation_0073 crab_annotation_0070
crab_annotation_0024 crab_annotation_0003
crab_annotation_0017 crab_annotation_0021
crab_annotation_0069 crab_annotation_0005
crab_annotation_0060 crab_annotation_0061
crab_annotation_0068 crab_annotation_0029
crab_annotation_0053 crab_annotation_0043
crab_annotation_0065 crab_annotation_0026
crab_annotation_0064 crab_annotation_0071
crab_annotation_0027 crab_annotation_0045
crab_annotation_0010 crab_annotation_0049
crab_annotation_0059 crab_annotation_0064
crab_annotation_0050 crab_annotation_0031
crab_annotation_0032 crab_annotation_0006
crab_annotation_0070 crab_annotation_0064
crayfish_annotation_0049 crayfish_annotation_0068
crayfish_annotation_0059 crayfish_annotation_0036
crayfish_annotation_0048 crayfish_annotation_0034
crayfish_annotation_0050 crayfish_annotation_0041
crayfish_annotation_0063 crayfish_annotation_0069
crayfish_annotation_0042 crayfish_annotation_0025
crayfish_annotation_0023 crayfish_annotation_0019
crayfish_annotation_0070 crayfish_annotation_0042
crayfish_annotation_0015 crayfish_annotation_0053
crayfish_annotation_0021 crayfish_annotation_0006
crayfish_annotation_0059 crayfish_annotation_0027
crayfish_annotation_0054 crayfish_annotation_0007
crayfish_annotation_0015 crayfish_annotation_0023
crayfish_annotation_0054 crayfish_annotation_0032
crayfish_annotation_0044 crayfish_annotation_0012
crocodile_annotation_0003 crocodile_annotation_0002
crocodile_annotation_0023 crocodile_annotation_0022
crocodile_annotation_0015 crocodile_annotation_0004
crocodile_annotation_0010 crocodile_annotation_0007
crocodile_annotation_0026 crocodile_annotation_0005
crocodile_annotation_0001 crocodile_annotation_0012
crocodile_annotation_0042 crocodile_annotation_0011
crocodile_annotation_0011 crocodile_annotation_0031
crocodile_annotation_0022 crocodile_annotation_0020
crocodile_annotation_0037 crocodile_annotation_0037
crocodile_annotation_0027 crocodile_annotation_0049
crocodile_annotation_0014 crocodile_annotation_0038
crocodile_annotation_0039 crocodile_annotation_0004
crocodile_annotation_0048 crocodile_annotation_0044
crocodile_annotation_0006 crocodile_annotation_0019
crocodile_head_annotation_0041 crocodile_head_annotation_0039
crocodile_head_annotation_0041 crocodile_head_annotation_0032
crocodile_head_annotation_0017 crocodile_head_annotation_0010
crocodile_head_annotation_0049 crocodile_head_annotation_0044
crocodile_head_annotation_0043 crocodile_head_annotation_0037
crocodile_head_annotation_0033 crocodile_head_annotation_0034
crocodile_head_annotation_0016 crocodile_head_annotation_0032
crocodile_head_annotation_0032 crocodile_head_annotation_0045
crocodile_head_annotation_0051 crocodile_head_annotation_0041
crocodile_head_annotation_0018 crocodile_head_annotation_0037
crocodile_head_annotation_0013 crocodile_head_annotation_0021
crocodile_head_annotation_0001 crocodile_head_annotation_0051
crocodile_head_annotation_0047 crocodile_head_annotation_0032
crocodile_head_annotation_0033 crocodile_head_annotation_0019
crocodile_head_annotation_0041 crocodile_head_annotation_0010
cup_annotation_0019 cup_annotation_0015
cup_annotation_0015 cup_annotation_0052
cup_annotation_0054 cup_annotation_0021
cup_annotation_0051 cup_annotation_0003
cup_annotation_0057 cup_annotation_0038
cup_annotation_0055 cup_annotation_0047
cup_annotation_0050 cup_annotation_0005
cup_annotation_0010 cup_annotation_0001
cup_annotation_0009 cup_annotation_0021
cup_annotation_0038 cup_annotation_0024
cup_annotation_0046 cup_annotation_0024
cup_annotation_0005 cup_annotation_0027
cup_annotation_0014 cup_annotation_0027
cup_annotation_0001 cup_annotation_0032
cup_annotation_0014 cup_annotation_0031
dalmatian_annotation_0035 dalmatian_annotation_0051
dalmatian_annotation_0053 dalmatian_annotation_0022
dalmatian_annotation_0020 dalmatian_annotation_0008
dalmatian_annotation_0037 dalmatian_annotation_0055
dalmatian_annotation_0039 dalmatian_annotation_0017
dalmatian_annotation_0014 dalmatian_annotation_0034
dalmatian_annotation_0038 dalmatian_annotation_0003
dalmatian_annotation_0015 dalmatian_annotation_0042
dalmatian_annotation_0037 dalmatian_annotation_0026
dalmatian_annotation_0005 dalmatian_annotation_0021
dalmatian_annotation_0058 dalmatian_annotation_0023
dalmatian_annotation_0014 dalmatian_annotation_0063
dalmatian_annotation_0016 dalmatian_annotation_0032
dalmatian_annotation_0026 dalmatian_annotation_0001
dalmatian_annotation_0020 dalmatian_annotation_0049
dollar_bill_annotation_0021 dollar_bill_annotation_0024
dollar_bill_annotation_0002 dollar_bill_annotation_0046
dollar_bill_annotation_0034 dollar_bill_annotation_0045
dollar_bill_annotation_0023 dollar_bill_annotation_0034
dollar_bill_annotation_0031 dollar_bill_annotation_0027
dollar_bill_annotation_0033 dollar_bill_annotation_0004
dollar_bill_annotation_0024 dollar_bill_annotation_0019
dollar_bill_annotation_0003 dollar_bill_annotation_0013
dollar_bill_annotation_0038 dollar_bill_annotation_0045
dollar_bill_annotation_0039 dollar_bill_annotation_0033
dollar_bill_annotation_0022 dollar_bill_annotation_0039
dollar_bill_annotation_0003 dollar_bill_annotation_0009
dollar_bill_annotation_0050 dollar_bill_annotation_0050
dollar_bill_annotation_0046 dollar_bill_annotation_0021
dollar_bill_annotation_0044 dollar_bill_annotation_0032
dolphin_annotation_0052 dolphin_annotation_0045
dolphin_annotation_0045 dolphin_annotation_0038
dolphin_annotation_0001 dolphin_annotation_0016
dolphin_annotation_0033 dolphin_annotation_0025
dolphin_annotation_0065 dolphin_annotation_0014
dolphin_annotation_0001 dolphin_annotation_0017
dolphin_annotation_0003 dolphin_annotation_0056
dolphin_annotation_0007 dolphin_annotation_0028
dolphin_annotation_0040 dolphin_annotation_0043
dolphin_annotation_0004 dolphin_annotation_0035
dolphin_annotation_0028 dolphin_annotation_0061
dolphin_annotation_0024 dolphin_annotation_0022
dolphin_annotation_0046 dolphin_annotation_0024
dolphin_annotation_0024 dolphin_annotation_0049
dolphin_annotation_0022 dolphin_annotation_0057
dragonfly_annotation_0002 dragonfly_annotation_0016
dragonfly_annotation_0058 dragonfly_annotation_0026
dragonfly_annotation_0055 dragonfly_annotation_0031
dragonfly_annotation_0037 dragonfly_annotation_0005
dragonfly_annotation_0030 dragonfly_annotation_0025
dragonfly_annotation_0041 dragonfly_annotation_0026
dragonfly_annotation_0023 dragonfly_annotation_0021
dragonfly_annotation_0053 dragonfly_annotation_0063
dragonfly_annotation_0007 dragonfly_annotation_0033
dragonfly_annotation_0031 dragonfly_annotation_0013
dragonfly_annotation_0052 dragonfly_annotation_0021
dragonfly_annotation_0043 dragonfly_annotation_0057
dragonfly_annotation_0001 dragonfly_annotation_0043
dragonfly_annotation_0002 dragonfly_annotation_0046
dragonfly_annotation_0032 dragonfly_annotation_0042
electric_guitar_annotation_0020 electric_guitar_annotation_0059
electric_guitar_annotation_0066 electric_guitar_annotation_0003
electric_guitar_annotation_0001 electric_guitar_annotation_0008
electric_guitar_annotation_0028 electric_guitar_annotation_0004
electric_guitar_annotation_0045 electric_guitar_annotation_0013
electric_guitar_annotation_0070 electric_guitar_annotation_0063
electric_guitar_annotation_0035 electric_guitar_annotation_0042
electric_guitar_annotation_0032 electric_guitar_annotation_0013
electric_guitar_annotation_0050 electric_guitar_annotation_0071
electric_guitar_annotation_0058 electric_guitar_annotation_0041
electric_guitar_annotation_0029 electric_guitar_annotation_0063
electric_guitar_annotation_0035 electric_guitar_annotation_0024
electric_guitar_annotation_0049 electric_guitar_annotation_0018
electric_guitar_annotation_0056 electric_guitar_annotation_0053
electric_guitar_annotation_0048 electric_guitar_annotation_0039
elephant_annotation_0019 elephant_annotation_0010
elephant_annotation_0002 elephant_annotation_0056
elephant_annotation_0010 elephant_annotation_0047
elephant_annotation_0051 elephant_annotation_0001
elephant_annotation_0034 elephant_annotation_0052
elephant_annotation_0027 elephant_annotation_0016
elephant_annotation_0007 elephant_annotation_0057
elephant_annotation_0041 elephant_annotation_0054
elephant_annotation_0009 elephant_annotation_0023
elephant_annotation_0038 elephant_annotation_0021
elephant_annotation_0012 elephant_annotation_0010
elephant_annotation_0032 elephant_annotation_0025
elephant_annotation_0022 elephant_annotation_0020
elephant_annotation_0014 elephant_annotation_0053
elephant_annotation_0007 elephant_annotation_0018
emu_annotation_0046 emu_annotation_0001
emu_annotation_0011 emu_annotation_0022
emu_annotation_0019 emu_annotation_0012
emu_annotation_0019 emu_annotation_0032
emu_annotation_0032 emu_annotation_0044
emu_annotation_0025 emu_annotation_0040
emu_annotation_0003 emu_annotation_0050
emu_annotation_0021 emu_annotation_0028
emu_annotation_0029 emu_annotation_0029
emu_annotation_0004 emu_annotation_0036
emu_annotation_0012 emu_annotation_0047
emu_annotation_0041 emu_annotation_0010
emu_annotation_0034 emu_annotation_0038
emu_annotation_0043 emu_annotation_0011
emu_annotation_0002 emu_annotation_0011
euphonium_annotation_0050 euphonium_annotation_0029
euphonium_annotation_0034 euphonium_annotation_0010
euphonium_annotation_0001 euphonium_annotation_0042
euphonium_annotation_0062 euphonium_annotation_0044
euphonium_annotation_0057 euphonium_annotation_0048
euphonium_annotation_0056 euphonium_annotation_0020
euphonium_annotation_0032 euphonium_annotation_0052
euphonium_annotation_0034 euphonium_annotation_0020
euphonium_annotation_0003 euphonium_annotation_0018
euphonium_annotation_0049 euphonium_annotation_0018
euphonium_annotation_0049 euphonium_annotation_0049
euphonium_annotation_0038 euphonium_annotation_0021
euphonium_annotation_0024 euphonium_annotation_0023
euphonium_annotation_0032 euphonium_annotation_0044
euphonium_annotation_0034 euphonium_annotation_0003
ewer_annotation_0013 ewer_annotation_0005
ewer_annotation_0036 ewer_annotation_0052
ewer_annotation_0019 ewer_annotation_0021
ewer_annotation_0065 ewer_annotation_0048
ewer_annotation_0055 ewer_annotation_0058
ewer_annotation_0072 ewer_annotation_0040
